:			Group	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Black	Dot	ID	Sex	fmal	fmal	fmal	fmar	fmar	fmar	fmtl	fmtl	fmtl	glb	glb	glb	nas	nas	nas	
Darkorange	Dot	149	1	-205,7095	-219,5906	287,6418	-155,7876	-140,4062	283,0968	-205,0682	-224,0583	286,7652	-175,25	-183,3755	312,2362	-180,1319	-180,2026	309,2005	
Darkorange	Dot	150	1	-198,1961	-231,6347	276,7002	-153,3867	-139,6633	276,295	-197,7145	-234,2331	277,2488	-169,8744	-187,8961	301,5933	-174,8269	-185,5944	297,6718	
Darkorange	Dot	151	1	-202,6132	-213,0532	283,6237	-154,3635	-123,5778	271,0062	-199,9697	-216,4398	285,9406	-171,995	-168,2664	303,1964	-178,305	-165,7245	296,8688	
Darkorange	Dot	152	1	-211,9654	-221,1248	275,1487	-162,4168	-133,268	275,0714	-211,8363	-224,2923	274,9128	-179,0484	-183,7188	301,2843	-185,301	-179,5995	294,2888	
Darkorange	Dot	153	1	-216,3998	-226,6267	278,2133	-162,0986	-126,3676	272,6214	-214,8453	-229,908	279,4674	-186,0275	-178,2093	302,9117	-191,6448	-175,6676	296,8644	
Darkorange	Dot	172	1	73,2226	-85,3309	368,4644	98,6661	-185,177	363,1382	67,6952	-84,8315	364,7481	70,0542	-139,7643	386,7997	78,689	-137,294	382,8393	
Darkorange	Dot	173	1	74,9973	-90,5362	363,6709	101,616	-187,4059	362,2761	71,0862	-90,9951	358,6545	70,1506	-143,825	383,0156	80,1045	-142,321	381,1936	
Darkorange	Dot	174	1	71,365	-86,761	369,4444	105,5988	-180,6924	365,2669	67,2919	-85,713	364,237	70,8376	-142,8672	390,6496	79,3847	-139,3476	390,4467	
Darkorange	Dot	175	1	85,1378	-94,2122	364,519	112	-189,9174	362,5133	81,29	-91,555	360,1137	81,7239	-147,2524	381,5391	89,9839	-144,7626	379,4217	
Darkorange	Dot	176	1	62,7272	-91,0103	410,1211	103,7095	-178,1674	411,425	57,2509	-90,6612	406,4242	73,2319	-135,0188	429,5884	78,7483	-132,9446	427,7344	
Darkorange	Dot	177	1	81,7405	-92,1777	364,3186	112,6731	-192,1774	360,3475	77,2984	-89,9529	361,1362	78,7721	-149,0427	388,4731	91,1103	-145,8465	383,7267	
