Species;Site;Specimen = inventory n°;Sex;Source;Tooth;Tooth;Tooth;Crown;
;;;;;Tooth;Right / Left;Upper / Lower;M.D. (in mm);B.L. (in mm)
Pongo pygmaeus;Cleveland Museum of Natural History;1444;Male;Original (Mahler);M1;Left;Inferior;12;11.5
Pongo pygmaeus;Cleveland Museum of Natural History;1444;Male;Original (Mahler);M2;Left;Inferior;13;13.1
Pongo pygmaeus;Cleveland Museum of Natural History;1444;Male;Original (Mahler);M3;Left;Inferior;14.6;14.2
Pongo pygmaeus;Cleveland Museum of Natural History;1444;Male;Original (Mahler);I1;Right;Inferior;8.2;10.3
Pongo pygmaeus;Cleveland Museum of Natural History;1444;Male;Original (Mahler);I2;Right;Inferior;10.1;10.7
Pongo pygmaeus;Cleveland Museum of Natural History;1444;Male;Original (Mahler);C;Right;Inferior;13.4;16.8
Pongo pygmaeus;Cleveland Museum of Natural History;1444;Male;Original (Mahler);Pm3;Right;Inferior;9.8;14.5
Pongo pygmaeus;Cleveland Museum of Natural History;1444;Male;Original (Mahler);Pm4;Right;Inferior;10.8;11.8
Pongo pygmaeus;Cleveland Museum of Natural History;1444;Male;Original (Mahler);M1;Right;Inferior;12.2;11.3
Pongo pygmaeus;Cleveland Museum of Natural History;1444;Male;Original (Mahler);M2;Right;Inferior;13;13.1
Pongo pygmaeus;Cleveland Museum of Natural History;1444;Male;Original (Mahler);M3;Right;Inferior;14.3;13.7
Pongo pygmaeus;Cleveland Museum of Natural History;1444;Male;Original (Mahler);I1;Left;Superior;14.8;13.7
Pongo pygmaeus;Cleveland Museum of Natural History;1444;Male;Original (Mahler);I2;Left;Superior;8.8;8.6
Pongo pygmaeus;Cleveland Museum of Natural History;1444;Male;Original (Mahler);C;Left;Superior;18.2;15.5
Pongo pygmaeus;Cleveland Museum of Natural History;1444;Male;Original (Mahler);Pm3;Left;Superior;10.3;14.2
Pongo pygmaeus;Cleveland Museum of Natural History;1444;Male;Original (Mahler);Pm4;Left;Superior;8.6;13.6
Pongo pygmaeus;Cleveland Museum of Natural History;1444;Male;Original (Mahler);M1;Left;Superior;11.5;13.8
Pongo pygmaeus;Cleveland Museum of Natural History;1444;Male;Original (Mahler);M2;Left;Superior;12.2;14.7
Pongo pygmaeus;Cleveland Museum of Natural History;1444;Male;Original (Mahler);M3;Left;Superior;12.4;14.8
Pongo pygmaeus;Cleveland Museum of Natural History;1444;Male;Original (Mahler);I1;Right;Superior;13.8;14
Pongo pygmaeus;Cleveland Museum of Natural History;1444;Male;Original (Mahler);I2;Right;Superior;8.3;8.1
Pongo pygmaeus;Cleveland Museum of Natural History;1444;Male;Original (Mahler);C;Right;Superior;18.1;15.6
Pongo pygmaeus;Cleveland Museum of Natural History;1444;Male;Original (Mahler);Pm3;Right;Superior;10.4;14.3
Pongo pygmaeus;Cleveland Museum of Natural History;1444;Male;Original (Mahler);Pm4;Right;Superior;8.8;13.8
Pongo pygmaeus;Cleveland Museum of Natural History;1444;Male;Original (Mahler);M1;Right;Superior;11.5;13.9
Pongo pygmaeus;Cleveland Museum of Natural History;1444;Male;Original (Mahler);M2;Right;Superior;12.5;14.9
Pongo pygmaeus;Cleveland Museum of Natural History;1444;Male;Original (Mahler);M3;Right;Superior;12.2;14.5
Pongo pygmaeus;Cleveland Museum of Natural History;1885;Male;Original (Mahler);I1;Left;Inferior;9.9;10.8
Pongo pygmaeus;Cleveland Museum of Natural History;1885;Male;Original (Mahler);I2;Left;Inferior;10;11.5
Pongo pygmaeus;Cleveland Museum of Natural History;1885;Male;Original (Mahler);Pm3;Left;Inferior;10.4;15.2
Pongo pygmaeus;Cleveland Museum of Natural History;1885;Male;Original (Mahler);Pm4;Left;Inferior;10.9;12.2
Pongo pygmaeus;Cleveland Museum of Natural History;1885;Male;Original (Mahler);M1;Left;Inferior;13.6;13
Pongo pygmaeus;Cleveland Museum of Natural History;1885;Male;Original (Mahler);M2;Left;Inferior;14.1;13.9
Pongo pygmaeus;Cleveland Museum of Natural History;1885;Male;Original (Mahler);I1;Right;Inferior;9.5;10.6
Pongo pygmaeus;Cleveland Museum of Natural History;1885;Male;Original (Mahler);I2;Right;Inferior;10.2;11.1
Pongo pygmaeus;Cleveland Museum of Natural History;1885;Male;Original (Mahler);Pm3;Right;Inferior;10.7;15
Pongo pygmaeus;Cleveland Museum of Natural History;1885;Male;Original (Mahler);Pm4;Right;Inferior;10.9;12.4
Pongo pygmaeus;Cleveland Museum of Natural History;1885;Male;Original (Mahler);M1;Right;Inferior;13.5;12.8
Pongo pygmaeus;Cleveland Museum of Natural History;1885;Male;Original (Mahler);M2;Right;Inferior;14.2;14
Pongo pygmaeus;Cleveland Museum of Natural History;1885;Male;Original (Mahler);I1;Left;Superior;17;14.1
Pongo pygmaeus;Cleveland Museum of Natural History;1885;Male;Original (Mahler);I2;Left;Superior;10.4;10.1
Pongo pygmaeus;Cleveland Museum of Natural History;1885;Male;Original (Mahler);Pm3;Left;Superior;10.9;14
Pongo pygmaeus;Cleveland Museum of Natural History;1885;Male;Original (Mahler);Pm4;Left;Superior;9.9;14.2
Pongo pygmaeus;Cleveland Museum of Natural History;1885;Male;Original (Mahler);M1;Left;Superior;13.2;14.7
Pongo pygmaeus;Cleveland Museum of Natural History;1885;Male;Original (Mahler);M2;Left;Superior;13;16.4
Pongo pygmaeus;Cleveland Museum of Natural History;1885;Male;Original (Mahler);I1;Right;Superior;17.2;14.2
Pongo pygmaeus;Cleveland Museum of Natural History;1885;Male;Original (Mahler);I2;Right;Superior;10.2;10.4
Pongo pygmaeus;Cleveland Museum of Natural History;1885;Male;Original (Mahler);Pm3;Right;Superior;11.2;14.2
Pongo pygmaeus;Cleveland Museum of Natural History;1885;Male;Original (Mahler);Pm4;Right;Superior;9.9;14.3
Pongo pygmaeus;Cleveland Museum of Natural History;1885;Male;Original (Mahler);M1;Right;Superior;13;14.6
Pongo pygmaeus;Cleveland Museum of Natural History;1885;Male;Original (Mahler);M2;Right;Superior;12.6;16.1
Pongo pygmaeus;Cleveland Museum of Natural History;2073;Male;Original (Mahler);I1;Left;Inferior;7.5;8.7
Pongo pygmaeus;Cleveland Museum of Natural History;2073;Male;Original (Mahler);I2;Left;Inferior;8.2;9.8
Pongo pygmaeus;Cleveland Museum of Natural History;2073;Male;Original (Mahler);C;Left;Inferior;11.7;14.5
Pongo pygmaeus;Cleveland Museum of Natural History;2073;Male;Original (Mahler);Pm3;Left;Inferior;8.3;12.3
Pongo pygmaeus;Cleveland Museum of Natural History;2073;Male;Original (Mahler);Pm4;Left;Inferior;10;9.8
